jurisdiction,citation_bill,short_title,status,enacted_date,effective_date,operative_date,who_regulated,hook,carve_outs,enforcer,private_suit,statutory_damages,cure_period,primary_url,class_collective,plaintiffs_together,fee_shifting,arbitration_class_waiver,notice_cure,nexus,out_of_state_actor,choice_of_law_forum,no_extraterritorial_clause,insurance_situs,thresholds,retroactivity,limitations_period,safe_harbor,local_preemption,criminal_overlay,litigation_status,federal_preemption,ai_definition,impact_assessment_discoverable,waiver_indemnity_ban,record_retention,last_checked,summary 
WA,2026 Laws ch. 167 (E2SHB 1170) — provenance data for generative AI,GenAI provenance for covered providers,delayed,2026-03-24,2027-02-01 (sec. 10),2027-02-01,"Covered providers: persons who create/code/produce a generative AI system that has at least 1,000,000 monthly users and is publicly accessible within the geographic boundaries of the state (excludes government) (sec. 2(2))",Synthetic media / GenAI provenance (machine-readable and conspicuous) plus government AI-interaction disclosure (Title 42 chapter),B2B-only systems; video-game systems (incl. in-game assets) not publicly accessible for generating media about real people/places; image/audio/video upscalers (sec. 3(6)). Does not restrict first-amendment-protected content (sec. 4(2)).,"Attorney General — Consumer Protection Act, chapter 19.86 RCW; chapter 19.86 applies and may be enforced only by the AG (sec. 4(3))",none — enforced only by the attorney general (sec. 4(3)),none (public CPA/AG only),none in statute,https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Session%20Laws/House/1170-S2.SL.pdf,silent,n/a (no PRA),silent,silent,silent,publicly accessible within the geographic boundaries of the state; >1 million monthly users (sec. 2(2)),silent,silent,silent,n/a,"at least 1,000,000 monthly users",silent,silent,silent,silent,civil-only,silent,silent,Generative AI system: machine-based system that infers from input it receives how to generate output that can influence physical or virtual environments and that has the capability of generating synthetic content (sec. 2(5)),silent,"yes — waiver of this chapter is contrary to public policy, void, and unenforceable (sec. 4(1))",unconfirmed in extracted provenance sections,2026-09-02,"E2SHB 1170 (operative 1 Feb 2027) requires covered GenAI providers (>1 million monthly users, publicly accessible in Washington) to apply machine-readable and conspicuous provenance to AI-generated image/video/audio. B2B, video-game, and upscaler carve-outs. Waiver of the chapter is void. CPA enforcement only by the AG — no PRA. A companion Title 42 chapter requires state/local government to disclose when a person is interacting with AI rather than a human unless obvious."
WA,2026 Laws ch. 168 (ESHB 2225) — companion chatbot safety,Companion chatbots,delayed,2026-03-24,2027-01-01 (sec. 9),2027-01-01,Operators: persons who make a companion chatbot platform available to users in this state (sec. 2(4)),"Companion chatbot: generative AI system with a natural-language interface that provides adaptive, human-like responses and is capable of meeting a user's social needs including offering anthropomorphic features (sec. 2(1))","Not a companion chatbot: bots solely for customer service, operations, productivity, or internal enterprise; research/training not publicly available; video-game bots limited to in-game topics; voice assistants on stand-alone speaker devices that do not sustain a relationship (sec. 2(1)(b))","CPA, chapter 19.86 RCW. Unlike E2SHB 1170, this chapter does not say only the AG may enforce — a private CPA action is not barred by the text of this chapter (sec. 6).",CPA per se (sec. 6: violation is an unfair or deceptive act in trade or commerce and an unfair method of competition for purposes of ch. 19.86). No express no-PRA clause.,none liquidated in this chapter (CPA remedies as otherwise provided),none in statute,https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Session%20Laws/House/2225-S.SL.pdf,silent,silent,silent,silent,silent,make a companion chatbot platform available to users in this state (sec. 2(4)),silent (available-to-users-in-this-state),silent,silent,n/a,none,silent,silent,silent,silent,civil-only,silent,silent,Generative AI system: any system that uses machine learning to generate new content including text/images/audio/video (sec. 2(3)); companion chatbot defined in sec. 2(1),silent,silent,silent,2026-09-02,"ESHB 2225 (operative 1 Jan 2027) requires operators of companion chatbot platforms available to Washington users to issue a first-session disclosure and a recurring three-hour disclosure that the user is interacting with AI, plus crisis-protocol duties (988 referral) in later sections of the chapter. A violation is a per se CPA unfair/deceptive act. Unlike the provenance statute, this chapter does not confine CPA enforcement to the AG. No liquidated private damages in the chapter."
WA,"RCW 48.43.830 as amended (E2SSB 5395, 2026 Laws ch. 157)",Health-plan utilization management — AI not sole means to deny,in force (default 2026-06-11); delayed for secs. 3 and 7 (2027-01-01),2026-03-23,2026-06-11 except secs. 3 and 7 on 2027-01-01 (session-law header),same,"Health carriers, health plans, and contracted utilization-review organizations (RCW 48.43.005 definitions imported)","Insurance-code AI: AI shall not be the sole means to deny, delay, or modify health care services; licensed professional must make the medical-necessity determination; algorithms may approve but not deny without human review; no replacement of a health-care professional's decision (RCW 48.43.830(5) as amended)",unconfirmed whether the AI sentence is in the 2026-06-11 block or the delayed secs. 3/7 — confirm against compiled RCW 48.43.830 after 2026-06-11,Insurance Commissioner / Title 48 (no new PRA in the extracted text of this amendment),none in this amendment (silent on a new PRA),none in this amendment,none in statute,https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Session%20Laws/Senate/5395-S2.SL.pdf,silent,silent,silent,silent,silent,silent,silent,silent,silent,health-plan / utilization-review organization under Title 48 RCW (Washington-regulated plans; situs not further restated in the extracted subsection),none,silent,silent,silent,silent,civil-only (insurance code),silent,silent,AI (undefined in the extracted 48.43.830(5) sentence; used as a statutory term),silent,silent,silent,2026-09-02,"E2SSB 5395 (2026 c 157) amends Washington's mental-health/SUD utilization-review statute so that AI cannot be the sole means used to deny, delay, or modify health-care services. A licensed professional must make the medical-necessity determination; algorithms may approve coverage but not deny it without human review. Default effective 11 Jun 2026; secs. 3 and 7 delayed to 1 Jan 2027. No new PRA in the extracted text."
MN,Minn. Stat. § 604.32 (2023 c 58),Civil action for nonconsensual dissemination of a deepfake depicting intimate parts or sexual acts,in force,2023 (ch. 58),2023-08-01,same,Persons who disseminate a deepfake as defined when they know or reasonably should know the depicted person does not consent; posting/publication/distribution/exhibition/digitization/exchange; consent to creation is not consent to dissemination,"Intimate-image AI deepfake: any electronic, mechanical, or other reproduction, however created, of a person's intimate parts or of a person engaging in a sexual act that did not actually occur, including by using AI","Does not apply when dissemination is for reporting unlawful activity, legal proceedings, or related to a matter of public concern or public interest (confirm remaining statutory exceptions on revisor page). Interactive-computer-service and similar: confirm remainder of § 604.32.","Private plaintiff; court may also award $1,000/day for violating an injunction",PRA,"up to $100,000 civil penalty payable to the plaintiff plus general and special damages (including damages for mental anguish) plus profits from the unauthorized dissemination; plus $1,000/day for violating an injunction (§ 604.32)",none in statute,https://www.revisor.mn.gov/statutes/cite/604.32,silent,plaintiff is the depicted person (or other person with a cause of action as stated),yes — court may award reasonable attorney fees and other costs of litigation to a prevailing plaintiff,silent,silent,Minnesota courts have jurisdiction if the plaintiff or defendant resides in Minnesota,silent (residence of either party suffices for jurisdiction),silent,silent,n/a,none,silent,tolled until the plaintiff discovers the deepfake (§ 604.32),silent,silent,civil-only in this section (related crime is § 617.261 / companion statutes),silent,silent,"deepfake: any electronic, mechanical reproduction, however created, including by using artificial intelligence, of intimate parts or a sexual act that did not actually occur",silent,silent,silent,2026-09-02,"§ 604.32 (in force 1 Aug 2023) gives a depicted person a PRA for nonconsensual dissemination of an intimate deepfake. Remedies include a civil penalty of up to $100,000 payable to the plaintiff, general and special damages including mental anguish, profits, injunction, fees, and $1,000/day for violating an injunction. Consent to creation is not consent to dissemination. Jurisdiction if plaintiff or defendant resides in Minnesota. SOL tolled until discovery."
MN,Minn. Stat. § 617.262,Nonconsensual dissemination of a deepfake depicting intimate parts or sexual acts (crime),in force,2023 (companion to ch. 58 / later amendments as compiled),as compiled on revisor (crime in force),same,Persons who disseminate a deepfake of intimate parts or a sexual act without consent as defined,Intimate-image AI deepfake crime,"Statutory exceptions as compiled (reporting, legal proceedings, public concern — confirm remainder)",Criminal prosecutors,none in this section (civil is § 604.32),none (criminal),none in statute,https://www.revisor.mn.gov/statutes/cite/617.262,silent,n/a,silent,silent,silent,silent,silent,silent,silent,n/a,none,silent,silent,silent,silent,"also crime — gross misdemeanor default; up to 3 years and/or $5,000 with aggravators as compiled",silent,silent,deepfake as defined in the section (AI-created intimate image/sexual act that did not occur),silent,silent,silent,2026-09-02,"§ 617.262 criminalizes nonconsensual dissemination of an intimate deepfake. Default is a gross misdemeanor; aggravating circumstances raise the penalty to up to three years and/or $5,000. Civil remedies live in § 604.32, not this section."
MN,Minn. Stat. § 609.771,Use of deepfakes to influence an election,in force,2023 (as compiled; later amendments as on revisor),as compiled,same,Persons who disseminate an election deepfake with the requisite intent within the statutory window,Election / political deepfake: AI-generated or digitally manipulated media of a candidate or ballot question intended to injure a candidate or influence an election,90-day / absentee-voting window as compiled; satire/news exceptions as compiled (confirm remainder of § 609.771),"AG, county attorney, city attorney; depicted individual; injured candidate — injunctive or other equitable relief only",injunctive/equitable only — no damages PRA in this section,none,none in statute,https://www.revisor.mn.gov/statutes/cite/609.771,silent,depicted individual or injured candidate (equitable),silent,silent,silent,silent,silent,silent,silent,n/a,none,silent,silent,silent,silent,also crime (as compiled),silent,silent,deepfake as defined in the section (election context),silent,silent,silent,2026-09-02,"§ 609.771 criminalizes use of deepfakes to influence an election within the statutory pre-election window, with intent to injure a candidate or influence the election. AG, county/city attorneys, the depicted individual, and an injured candidate may seek injunctive or other equitable relief. The section does not create a damages PRA."
MN,"Minn. Stat. § 62M.09 subd. 3 as amended by 2026 Laws ch. 124, art. 3, s. 6 (HF 4188)",Utilization review — automated processing / AI (insurance code),unconfirmed (amendment enacted; isolated new sentences not pulled from omnibus HTML in this pass),2026-05-27 (session; confirm chaptered signature block),unconfirmed (revisor flags 2026 c 124 art. 3 s. 6; secondaries say 2027-01-01 / plans issued or renewed — do not treat as holding),unconfirmed,Utilization-review organizations / health-plan UR under chapter 62M (confirm exact who in art. 3 s. 6),Insurance-code AI / automated processing of utilization-review determinations (expected: automated processing not sole basis for adverse PA determinations — unconfirmed quote),unconfirmed,unconfirmed (Title 62M / commerce; no isolated PRA),unconfirmed (none isolated),unconfirmed,none in statute,https://www.revisor.mn.gov/laws/2026/0/124/,silent,silent,silent,silent,silent,silent,silent,silent,silent,Minnesota chapter 62M utilization review (situs not isolated from art. 3 s. 6),none,silent,silent,silent,silent,civil-only (insurance code; unconfirmed),silent,silent,unconfirmed from isolated session-law text,silent,silent,silent,2026-09-02,"HF 4188 became 2026 Minnesota Laws chapter 124. Article 3, section 6 amends § 62M.09 subd. 3 (utilization-review staffing). The revisor flags the amendment, but the omnibus HTML dump in this pass did not isolate the new sentences, so AI-sole-means language, effective date, and any PRA/carve-outs remain unconfirmed. Do not quote trade-press (InsureAI Wire) as the holding. Fill from the chaptered law PDF or the next compiled revisor text."
FL,"Fla. Stat. § 106.145 (ch. 2024-126, HB 919)",Use of generative AI in political advertisements — disclaimer,in force,2024-04-26,2024-07-01,same,"Persons who sponsor, pay for, or approve a political advertisement that contains generated content from generative AI",Election / political generative AI: disclaimer that the advertisement contains content generated by generative artificial intelligence,as compiled (media/news exceptions typical of ch. 106 — confirm remainder of § 106.145),Florida Elections Commission complaint path as compiled; criminal — first-degree misdemeanor,none (no damages PRA in § 106.145),none,none in statute,https://www.flsenate.gov/Laws/Statutes/2025/0106.145,silent,n/a,silent,silent,silent,silent,silent,silent,silent,n/a,none,silent,silent,silent,silent,also crime — first-degree misdemeanor,silent,silent,generative artificial intelligence as used in § 106.145 (generated content in a political advertisement),silent,silent,silent,2026-09-02,§ 106.145 (ch. 2024-126; in force 1 Jul 2024) requires a specified disclaimer on political advertisements that contain generated content from generative AI. Violation is a first-degree misdemeanor; FEC complaint path. No damages PRA.
FL,"Fla. Stat. § 836.13 (as compiled 2025, including Brooke’s Law / ch. 2025-99)","Altered sexual depictions — generate, solicit, maliciously promote",in force (crime); platform process-by date 2025-12-31,as compiled (ch. 2022-212 origin; ch. 2025-99 Brooke’s Law amendments),as compiled 2025,same; platforms must have a process by 2025-12-31,"Persons who generate, solicit, or maliciously promote a nonconsensual altered sexual depiction; covered online platforms for notice-and-remove",Intimate-image AI / computer-generated nude parts: altered sexual depiction including computer-generated depictions of intimate parts,"PRA is against subsections (2) or (4) actors only. Platform failure to process/remove is FDUTPA, not the private liquidated claim. Other statutory exceptions as compiled.",Criminal prosecutors (F3); private plaintiff vs (2) or (4); FDUTPA for platform process/48-hour failure,PRA vs a person who violates subsection (2) or (4),"greater of $10,000 or actual damages, plus reasonable attorney fees and costs; each act of creating, soliciting, or promoting is a separate violation (§ 836.13)",none in statute,https://www.flsenate.gov/Laws/Statutes/2025/0836.13,silent,depicted person (each act separate),yes — reasonable attorney fees and costs,silent,platforms: process by 2025-12-31; remove within 48 hours; failure is FDUTPA,Florida has jurisdiction if any element of the offense occurs in the state OR any harm to the depicted person occurs in the state (§ 836.13(10)),silent (harm-in-Florida clause in (10)),silent,silent,n/a,none,silent,silent,silent,silent,also crime — third-degree felony,silent,silent (FDUTPA overlay for platforms),altered sexual depiction includes computer-generated depictions of nude/intimate parts as compiled,silent,silent,silent,2026-09-02,"§ 836.13 (compiled 2025, including Brooke’s Law) makes it a third-degree felony to generate, solicit, or maliciously promote a nonconsensual altered sexual depiction, including computer-generated nude parts. The depicted person has a PRA against (2) or (4) violators for the greater of $10,000 or actual damages plus fees; each act is separate. In-state if any element or any harm to the depicted person occurs in Florida. Platforms must run a process by 31 Dec 2025 and remove within 48 hours; failure is FDUTPA."
NJ,"N.J.S.A. 2C:21-17.7 and 2C:21-17.8 (P.L. 2025, c. 40; A3540)",Deceptive audio or visual media — crime plus PRA,in force,2025-04-02,immediate (approved 2025-04-02),same,"Natural persons who generate, solicit, or disclose deceptive audio or visual media to further a crime, or who knowingly or recklessly disclose illegally created media",Deepfake / deceptive A/V media used to further enumerated crimes (including official/political threats under 2C:27-3) plus knowing/reckless disclosure of illegally created media,"Satire, news reporting, and other listed exceptions; 47 U.S.C. § 230; developer who does not solely determine end-user use; advertising-channel intermediaries as in the chapter. Consecutive sentencing / no merger with the underlying crime.",Criminal prosecutors; private plaintiff (conviction not required),PRA,"actual damages not less than $1,000 liquidated per knowing or reckless violation, plus punitive damages if willful, plus fees",none in statute,https://pub.njleg.state.nj.us/Bills/2024/AL25/40_.HTM,silent,person injured by the violation (per knowing/reckless violation),yes — reasonable attorney fees as compiled in c. 40,silent,silent,silent,silent,silent,silent,n/a,none,silent,silent,silent,silent,"also crime — 3d degree (generate/solicit/disclose to further a crime) with fine up to $30,000; 4th degree knowing/reckless disclose of illegally created media; consecutive / no merger",silent,cite — 47 U.S.C. § 230 carve-out in the act,deceptive audio or visual media as defined in 2C:21-17.7/.8 (digitally created or altered A/V that falsely depicts a person),silent,silent,silent,2026-09-02,"P.L. 2025, c. 40 (A3540; approved 2 Apr 2025, immediate) creates 2C:21-17.7/.8. Generating, soliciting, or disclosing deceptive A/V media to further a crime (including 2C:27-3 official/political threats) is a third-degree crime with a fine up to $30,000. Knowing or reckless disclosure of illegally created media is a fourth-degree crime. Sentences run consecutive; no merger. PRA: actual damages not less than $1,000 liquidated per knowing/reckless violation, willful punitive damages, and fees; conviction is not required. Satire/news/§230/developer/ad-channel carve-outs."
NJ,"P.L. 2026, c. 43 (A3497 — FAIR Act) — algorithmic rent coordination",Algorithmic rent-setting / coordination (FAIR Act),delayed (enrolled PDF not retrieved in this pass; OLS fiscal note is not a holding),2026-07-20 (signature date as reported on legislative status — confirm enrolled session-law PDF),unconfirmed (~2027-07-01 on OLS fiscal note — not a holding),unconfirmed,Persons who provide or use algorithmic rent-coordination / rent-setting software as defined in the enrolled act (unconfirmed from PDF),Algorithmic pricing / rent coordination among landlords (antitrust-style),same-owner / commonly owned properties expected from OLS — unconfirmed. Local preemption expected — unconfirmed.,unconfirmed (AG portal expected from OLS — not a holding),unconfirmed,unconfirmed,none in statute,https://pub.njleg.state.nj.us/Bills/2026/A3500/3497_R2.HTM,silent,silent,silent,silent,silent,silent,silent,silent,silent,n/a,none,silent,silent,silent,unconfirmed (OLS describes local preemption — not a holding),unconfirmed,silent,silent,unconfirmed from enrolled PDF (algorithmic coordination / rent-setting software),silent,silent,silent,2026-09-02,"A3497 (FAIR Act) was signed as P.L. 2026, c. 43 on 20 Jul 2026. It is New Jersey's algorithmic rent-coordination statute. The enrolled session-law PDF was not retrieved in this pass (njleg TLS failures). OLS fiscal-note language (antitrust, AG portal, same-owner carve-out, local preemption, ~1 Jul 2027) is not treated as a holding. Damages, PRA, operative date, and exact who_regulated remain unconfirmed until the chaptered text is in hand."
IA,"Iowa Code ch. 554J (SF 2417, 91st G.A.; Acts ch. unconfirmed in enrolled PDF)",Conversational AI services,delayed (applies 2027-07-01),2026-05-02 (governor letter / bill history),2026-07-01 (Iowa default on bill history); Act applies 2027-07-01 (SF 2417 § 7),2027-07-01 (applicability),Operator: a person who develops and makes a conversational AI service available to the public. Operator does not include a mobile-device application store or a search engine solely because it provides access to a conversational AI service (§ 554J.1(4)),Conversational AI (primary purpose simulating human conversation via text/audio/visual). Minor disclosures and sexual-content/romance/sentience guards; persistent or 3-hour consumer disclosure if a reasonable individual would believe the service is human; suicide/self-harm crisis-referral protocol; ban on representing the service as licensed psychology/behavioral-health (chs. 154B/154D),Not a conversational AI service: primarily R&D; a feature in another program whose primary purpose is not simulating conversation; narrow/discrete-topic outputs; primarily designed/marketed for commercial customer-service/goods; speaker/voice-command/virtual assistant for a widely available device; internal-business-only use (§ 554J.1(2)(b)). Developer of an AI model not liable solely because a third party used the model to create or train a conversational AI service (§ 554J.6(5)),Attorney General; AG shall adopt ch. 17A rules (§ 554J.6(2)),none — chapter shall not be construed to create a PRA under this chapter or any other law (§ 554J.6(4)),"AG path: injunction and the greater of actual damages or a civil penalty of $1,000 per violation, up to $500,000 per operator; penalties to general fund (§ 554J.6(1),(3)). Not a private liquidated PRA.",none in enrolled act,https://www.legis.iowa.gov/docs/publications/LGE/91/SF2417.pdf,silent,"n/a (no PRA); public penalty capped $500,000 per operator",silent,silent,silent (none in enrolled act),conversational AI service accessible to the general public (§ 554J.1(2)(a)); no in-state-user clause in enrolled text,silent,silent,silent,n/a,none,"applies July 1, 2027 (§ 7) — not a general retroactivity clause",silent,model-developer non-liability solely for third-party use of the model (§ 554J.6(5)),silent,civil-only (civil penalty + injunction; no crime in enrolled act),silent,silent (sexually explicit conduct / visual depiction cross-cite 18 U.S.C. § 2256 — definitional),"Conversational AI service: an artificial intelligence, available by software application, web interface, or computer program, accessible to the general public, with the primary purpose of simulating human conversation and interaction through text, audio, or visual communication (§ 554J.1(2))",silent,silent,silent,2026-09-02,"Enrolled SF 2417 (signed 2 May 2026) creates Iowa Code chapter 554J. Operators that develop and publicly offer a conversational AI service must disclose AI use to minors and, if a reasonable person would think the bot is human, via a persistent disclaimer or every three hours; keep minor sexual/romance/sentience outputs from occurring; offer privacy tools; maintain a suicide/self-harm referral protocol; and not claim licensed psych/behavioral-health services. AG may seek an injunction and the greater of actual damages or $1,000 per violation (cap $500,000 per operator). The chapter expressly creates no PRA. It applies 1 Jul 2027."
IA,"Iowa Code § 514F.8(2A) (HF 2635, 91st G.A.; Acts ch. 1087 per bill history)",Utilization review — AI not sole basis for medical-necessity PA deny/delay/downgrade,in force (AI subsection 2026-07-01); related peer-review § 514F.8A delayed 2027-01-01,2026-05-13 (signed; bill history),2026-07-01 (bill history default; no delayed applicability on § 514F.8(2A)),same as effective for (2A); § 514F.8A peer-review denials 2027-01-01; e-PA API 2027-07-01,Utilization review organizations (and health carriers via ch. 514F); commissioner of insurance,"Insurance-code AI: a UR organization may use an AI-based algorithm or system for initial PA review, but shall not use it as the sole basis to deny, delay, or downgrade a medical-necessity prior-authorization request (§ 514F.8(2A))","§ 514F.8A/8B/8C plan-class carve-outs (accident-only, specified disease, short-term hospital/medical, hospital indemnity, credit, dental, vision, Medigap, LTC, basic hospital/medical-surgical as defined by commissioner, disability income, liability-supplement, workers’ comp, auto med-pay) attach to those new sections, not restated in (2A) itself",Commissioner of insurance. Remedy for noncompliance with § 514F.8 (including 2A) is chs. 505 and 507B procedures (§§ 507B.6–.8). Pattern/practice: commissioner may suspend UR authority (§ 514F.8E),none in HF 2635 for the AI sentence (insurance-code administrative/UTPA path),none as private liquidated damages. 507B penalties unconfirmed here.,none in enrolled AI subsection,https://www.legis.iowa.gov/docs/publications/LGE/91/HF2635.pdf,silent,silent,silent in HF 2635,silent,silent,"third-party payment provider contracts/policies/plans delivered, issued for delivery, continued, or renewed in this state (stated for 514F.8A/8B/8C; (2A) itself has no extra situs sentence)",silent,silent,silent,yes — Iowa insurance code ch. 514F UR; in-state delivery/issue/continue/renew used for companion sections,none,(2A) effective 2026-07-01; companion PA peer-review and audit sections apply to requests/audits/plans on or after 2027-01-01,silent,AI may be used for initial review so long as it is not the sole basis of a medical-necessity deny/delay/downgrade (§ 514F.8(2A)),silent,civil-only (DOI/507B),silent,silent,artificial intelligence-based algorithm or system (undefined further in enrolled (2A)),silent,silent,silent,2026-09-02,"HF 2635 (signed 13 May 2026, Acts ch. 1087) adds Iowa Code § 514F.8(2A): a utilization review organization may use an AI-based algorithm for initial prior-authorization review but may not use it as the sole basis to deny, delay, or downgrade a medical-necessity PA. The AI sentence took the Iowa default 1 Jul 2026. Peer-review/sign-off duties in new § 514F.8A apply to PA requests on or after 1 Jan 2027. Enforcement is the insurance commissioner via chapters 505 and 507B; pattern/practice can suspend UR authority. No PRA in the enrolled act."
IA,"Iowa Code § 708.7(1)(a)(5), (2)(a)(2) (HF 2240, 90th G.A.; 2024 Acts ch. 1065)",Harassment — nonconsensual visual depiction including created/adapted/modified images,in force,2024-04-19 (signed; bill history),2024-07-01 (Iowa default; bill history),same as effective,"Persons who disseminate/publish/distribute/post a visual depiction of another person in full/partial nudity or a sex act without consent, including using the person’s face/likeness/features to create, adapt, or modify the depiction","Deepfake/synthetic intimate image: 'another person' includes an identifiable individual whose image is used to create, adapt, or modify a visual depiction (HF 2240; compiled § 708.7(1)(a)(5))","§ 708.7(6): voluntary public/commercial exposure; public-interest disclosures (unlawful-conduct reporting, law enforcement, news, legal proceedings, medical); ICS of information provided by another ICP (47 U.S.C. § 230 terms)",Criminal prosecution. Sex-offender registration for offenders 18+ on (1)(a)(5) notwithstanding subsection 5,"none in § 708.7 for (1)(a)(5). Compiled § 708.7(7) PRA is only for (1)(a)(4) false crime-report harassment, not intimate images.",none (crime). First-degree harassment (includes (1)(a)(5)) is an aggravated misdemeanor (§ 708.7(2)(b)),none,https://www.legis.iowa.gov/docs/code/708.7.pdf,silent,silent,silent,silent,silent,silent in § 708.7 (Iowa criminal jurisdiction otherwise),silent,silent,silent,n/a,none,silent,silent in this section (criminal SOL otherwise),§ 708.7(6) carve-outs including 47 U.S.C. § 230 ICS,silent,also crime — aggravated misdemeanor first-degree harassment; 18+ sex-offender registration,silent,cite — ICS/ICP 47 U.S.C. § 230 terms in § 708.7(6)(c),"n/a as AI — create/adapt/modify visual depiction using face, likeness, or other distinguishing features (no 'artificial intelligence' token in compiled § 708.7)",silent,silent,silent,2026-09-02,"HF 2240 (signed 19 Apr 2024; 2024 Acts ch. 1065) expands Iowa harassment so that a nonconsensual nude/sex-act visual depiction includes a created, adapted, or modified image of an identifiable person. That offense is first-degree harassment (aggravated misdemeanor); offenders 18+ must register as sex offenders. Compiled § 708.7 does not create a PRA for this subsection (the civil action in (7) is only for false crime reports). ICS transmitting another’s content is carved out."
IA,"Iowa Code § 728.12(3) (SF 2243, 90th G.A.)",Sexual exploitation of a minor — synthetic/created visual depiction possession,in force,2024 (signed; exact calendar day unconfirmed from enrolled PDF blank signature line),2024-07-01 (bill history),same as effective,Persons who knowingly purchase or possess a visual depiction of a minor engaging in a prohibited sexual act or simulation,"Deepfake/CSAM: 'visual depiction of a minor' includes any visual depiction created, adapted, or modified to give the appearance that an identifiable minor is engaged in a prohibited sexual act or simulation; identifiable minor includes a person who was a minor when created/adapted/modified or whose image as a minor was used, recognizable by face, likeness, or other distinguishing features. Actual identity need not be proved (§ 728.12(3)(e)–(f))",silent in the enrolled SF 2243 extract (other 728.12 defenses unconfirmed here),Criminal prosecution,none in SF 2243,"none (crime). Class D felony first offense; class C felony second or subsequent, including substantially similar out-of-state priors (§ 728.12(3)(c)–(d))",none,https://www.legis.iowa.gov/docs/publications/LGE/90/SF2243.pdf,silent,multiple depictions of the same minor prosecuted as one offense; different minors in one depiction are separate (§ 728.12(3)(b)),silent,silent,silent,silent in enrolled section,silent (prior-conviction recognition of other-jurisdiction statutes is not an OOS-actor hook),silent,silent,n/a,none,silent,silent in enrolled section,silent in enrolled extract,silent,also crime — class D / class C felony possession,silent,silent,"n/a as AI — created, adapted, or modified visual depiction giving the appearance of an identifiable minor (no 'artificial intelligence' token in enrolled SF 2243)",silent,silent,silent,2026-09-02,"SF 2243 (effective 1 Jul 2024) amends Iowa Code § 728.12(3) so that possession of CSAM includes created, adapted, or modified visual depictions that make an identifiable minor appear to engage in a prohibited sexual act. First offense is a class D felony; subsequent is class C. The enrolled act does not add a PRA. Whether creation/dissemination subsections of § 728.12 were already broader was not re-pulled."
OH,"Ohio Rev. Code §§ 2917.211, 2307.66 (as amended by H.B. 96, 136th G.A., effective 2025-09-30)",Nonconsensual dissemination/creation of fabricated sexual images + civil action,in force,2025 (H.B. 96; exact signature calendar day unconfirmed),2025-09-30 (authenticated code / Ohio Laws),same as effective,"Persons who knowingly disseminate a fabricated sexual image without consent, or who without consent create or solicit creation of a fabricated sexual image with intent to distribute in order to harass, extort, threaten, or cause listed harms","Deepfake-adjacent: fabricated sexual image is a created, adapted, or modified image of a recognizable person in nudity or a sexual act (§ 2307.66(F); § 2917.211(A)(11)). Statute does not use the token 'artificial intelligence'.","§ 2917.211(E): lawful criminal investigation; reporting unlawful conduct; news/commentary/artistic or expressive works; LEO/corrections official duties; other lawful public purpose; adult who is knowingly/willingly nude or in a sexual act in a place without a reasonable expectation of privacy; medical treatment/examination. (F) ICS, mobile, telecom, ISP, cable, DBS, video-service providers not liable solely for an image provided by another person.",Criminal prosecution; victim civil action under § 2307.66,PRA — victim of a § 2917.211 violation may sue the offender (§ 2917.211(I); § 2307.66(A)),no liquidated floor. Injunction/TRO plus compensatory and punitive damages; presumed harm for nonconsensual private or fabricated sexual images; reasonable attorney's fees and costs (§ 2307.66(A)–(B)),none,https://codes.ohio.gov/ohio-revised-code/section-2307.66/9-30-2025,silent,silent,yes — reasonable attorney's fees and costs of bringing the civil action (§ 2307.66(A)),silent,silent,silent in these sections (Ohio PJ otherwise),silent,silent,silent,n/a,none,H.B. 96 amendments operative 2025-09-30 — not a general retroactivity clause,civil: four years after the victim discovers the private or fabricated sexual image (§ 2307.66(C)),provider non-liability for another’s image (§ 2917.211(F)); listed dissemination purposes (§ 2917.211(E)),silent,also crime — disseminate fabricated: F4 default / F3 with prior; create/solicit fabricated: F4 default / F3 with prior; also criminal forfeiture (§ 2917.211(H)),silent,silent (ICS defined via 47 U.S.C. § 230),"n/a as AI — fabricated sexual image: created, adapted, or modified image of a recognizable person in nudity or a sexual act (§ 2307.66(F))",silent,silent,silent,2026-09-02,"H.B. 96 (136th G.A.) amended Ohio’s nonconsensual-image statutes effective 30 Sep 2025 to cover fabricated sexual images (created/adapted/modified recognizable nudes or sex acts). Dissemination without consent is an F4 (F3 with prior); creation or solicitation with intent to distribute to harass/extort/threaten/harm is the same ladder. A victim has a civil action for injunction, compensatory and punitive damages, presumed harm, and fees, within four years of discovery. The statute never says 'artificial intelligence.' No enacted Ohio insurance-code AI UR statute (HB 579 / SB 164 pending). No election-deepfake statute enacted (SB 163 pending House as of May 2026)."
